id,recorded_at,jenis_makanan,battery,temperature,humidity,gas_level,status,lid_status,expired_days,predicted_spoiled
30,2025-09-02 01:20:42.005 +0700,fruits,50,28.87,63.07,400.55,bad,CLOSED,7.08,0.75
31,2025-09-02 01:20:47.319 +0700,fruits,46,22.85,51.74,397.49,good,CLOSED,6.95,0.62
32,2025-09-02 01:20:52.669 +0700,fruits,43,19.01,66.98,414.19,bad,OPEN,5.78,-0.55
33,2025-09-02 01:20:58.066 +0700,fruits,88,27.33,52.79,407.72,bad,OPEN,7.34,1.01
34,2025-09-02 01:21:03.377 +0700,fruits,64,25.07,79.94,397.43,bad,OPEN,5.93,-0.4
35,2025-09-02 01:21:08.762 +0700,fruits,53,24.48,49.54,413.46,bad,CLOSED,7.15,0.82
36,2025-09-02 01:21:14.152 +0700,fruits,65,18.03,69.92,414.11,bad,CLOSED,5.54,-0.79
37,2025-09-02 01:21:19.508 +0700,fruits,92,22.05,60.57,419.76,bad,OPEN,6.37,0.04
38,2025-09-02 01:21:24.803 +0700,fruits,37,25.51,63.16,397.72,warning,CLOSED,6.73,0.4
39,2025-09-02 01:21:30.195 +0700,fruits,33,22.33,60.19,406.11,warning,OPEN,6.48,0.15
40,2025-09-02 01:21:35.596 +0700,fruits,62,24.17,47.52,411.97,bad,CLOSED,7.22,0.89
41,2025-09-02 01:21:40.978 +0700,fruits,89,25.49,85.25,397.32,bad,OPEN,5.74,-0.59
42,2025-09-02 01:21:46.382 +0700,fruits,44,27.13,68.75,416.93,bad,CLOSED,6.57,0.24
43,2025-09-02 01:21:51.731 +0700,fruits,69,20.52,83.12,401.9,bad,OPEN,5.28,-1.05
44,2025-09-02 01:21:57.129 +0700,fruits,79,26.31,58.6,408.1,warning,OPEN,6.97,0.64
45,2025-09-02 01:22:02.545 +0700,fruits,73,21.84,61.59,411.88,bad,CLOSED,6.34,0.01
46,2025-09-02 01:22:07.918 +0700,fruits,63,28.96,82.27,405.54,bad,OPEN,6.21,-0.12
47,2025-09-02 01:22:13.345 +0700,fruits,85,18.54,44.32,413.64,bad,CLOSED,6.74,0.41
48,2025-09-02 01:22:18.669 +0700,fruits,90,20.7,78.15,416.94,bad,CLOSED,5.45,-0.88
49,2025-09-02 01:32:22.141 +0700,fruits,61,24.4,44.93,403.97,warning,CLOSED,7.39,1.06
50,2025-09-02 01:32:27.477 +0700,fruits,97,24.85,62.44,403.9,warning,OPEN,6.66,0.33
51,2025-09-02 01:32:32.854 +0700,fruits,70,23.77,43.75,397.47,good,CLOSED,7.41,1.08
52,2025-09-02 01:32:38.262 +0700,fruits,95,26.94,92.33,399.21,bad,CLOSED,5.58,-0.75
53,2025-09-02 01:32:43.670 +0700,fruits,54,21.06,63.35,411.52,bad,CLOSED,6.18,-0.15
54,2025-09-02 01:32:49.042 +0700,fruits,33,20.9,61.29,401.39,good,OPEN,6.3,-0.03
55,2025-09-02 01:32:54.394 +0700,fruits,84,25.82,82.14,410.12,bad,OPEN,5.86,-0.47
56,2025-09-02 01:32:59.787 +0700,fruits,80,29.4,46.36,401.41,bad,OPEN,7.88,1.55
57,2025-09-02 01:33:05.148 +0700,fruits,37,20.17,50.34,395.78,good,OPEN,6.73,0.4
58,2025-09-02 01:33:10.530 +0700,fruits,31,29.85,76.54,402.27,bad,CLOSED,6.58,0.25
59,2025-09-02 01:33:15.907 +0700,fruits,64,22.48,56.94,396.02,good,CLOSED,6.69,0.36
60,2025-09-02 01:33:21.324 +0700,fruits,71,20.82,54.75,412.2,bad,CLOSED,6.53,0.2
61,2025-09-02 01:33:26.704 +0700,fruits,79,29.9,87.17,402.6,bad,CLOSED,6.11,-0.22
62,2025-09-02 01:33:32.085 +0700,fruits,55,22.15,66.55,405.97,warning,OPEN,6.18,-0.15
63,2025-09-02 01:33:37.478 +0700,fruits,65,21.25,89.03,397.81,bad,CLOSED,5.11,-1.22
64,2025-09-02 01:33:42.867 +0700,fruits,65,20.48,69.56,404.53,warning,OPEN,5.87,-0.46
65,2025-09-02 01:33:48.355 +0700,fruits,52,27.4,56.77,398.09,bad,CLOSED,7.22,0.89
66,2025-09-02 01:33:53.732 +0700,fruits,65,19.68,81.55,417.94,bad,OPEN,5.19,-1.14
67,2025-09-02 01:33:59.080 +0700,fruits,51,21.2,85.79,412.18,bad,CLOSED,5.19,-1.14
68,2025-09-02 01:34:04.456 +0700,fruits,69,22.99,81.16,404.17,bad,CLOSED,5.62,-0.71
69,2025-09-02 01:34:09.766 +0700,fruits,54,24.52,41.76,402.97,warning,OPEN,7.55,1.22
70,2025-09-02 01:34:15.140 +0700,fruits,34,22.67,72.25,395.52,warning,CLOSED,6.03,-0.3
71,2025-09-02 01:34:20.548 +0700,fruits,49,27.07,48.19,397.26,bad,CLOSED,7.57,1.24
72,2025-09-02 01:34:25.888 +0700,fruits,35,23.99,63.84,401.94,good,OPEN,6.52,0.19
73,2025-09-02 01:34:31.308 +0700,fruits,91,28.74,51.74,399.1,bad,CLOSED,7.58,1.25
74,2025-09-02 01:34:36.709 +0700,fruits,48,29.52,86.25,401.49,bad,OPEN,6.12,-0.21
75,2025-09-02 01:34:42.122 +0700,fruits,59,21.69,43.24,418.61,bad,OPEN,7.11,0.78
76,2025-09-02 01:34:47.522 +0700,fruits,58,21.61,87.4,419.85,bad,OPEN,5.12,-1.21
77,2025-09-02 01:34:52.894 +0700,fruits,37,26.27,75.48,403.15,bad,OPEN,6.24,-0.09
78,2025-09-02 01:34:58.280 +0700,fruits,53,23.8,64.62,398.61,good,CLOSED,6.48,0.15
79,2025-09-02 01:35:03.667 +0700,fruits,78,25.29,79.97,407.33,bad,OPEN,5.91,-0.42
80,2025-09-02 01:35:09.050 +0700,fruits,38,25.55,41.94,411.4,bad,OPEN,7.62,1.29
81,2025-09-02 01:35:14.443 +0700,fruits,37,22.58,74.02,406.51,warning,CLOSED,5.89,-0.44
82,2025-09-02 01:35:19.821 +0700,fruits,44,19.44,72.32,401.97,warning,CLOSED,5.65,-0.68
83,2025-09-02 01:35:25.189 +0700,fruits,39,24.37,42.63,413.31,bad,CLOSED,7.45,1.12
84,2025-09-02 01:35:30.610 +0700,fruits,74,22.32,49.51,412.12,bad,OPEN,6.93,0.6
85,2025-09-02 01:35:35.991 +0700,fruits,52,22.57,75.04,419.21,bad,CLOSED,5.78,-0.55
86,2025-09-02 01:35:41.370 +0700,fruits,53,18.65,88.77,402.65,bad,CLOSED,4.82,-1.51
87,2025-09-02 01:35:46.779 +0700,fruits,71,27.4,42.92,399.64,bad,OPEN,7.83,1.5
88,2025-09-02 01:35:52.162 +0700,fruits,59,18.18,49.77,403.25,good,OPEN,6.51,0.18
89,2025-09-02 01:35:57.542 +0700,fruits,64,24.5,74.72,410.33,bad,OPEN,6.05,-0.28
90,2025-09-02 01:36:02.893 +0700,fruits,57,27.76,43.24,401.98,bad,OPEN,7.84,1.51
91,2025-09-02 01:36:08.273 +0700,fruits,77,18.23,63.44,407.1,warning,CLOSED,5.89,-0.44
92,2025-09-02 01:36:13.682 +0700,fruits,43,18.46,52.84,412.76,bad,OPEN,6.36,0.03
93,2025-09-02 01:36:19.067 +0700,fruits,73,18.46,82.57,400.93,bad,CLOSED,5.09,-1.24
94,2025-09-02 01:36:24.458 +0700,fruits,82,29.66,54.03,402.46,bad,OPEN,7.56,1.23
95,2025-09-02 01:36:29.865 +0700,fruits,84,25.72,40.61,408.45,warning,CLOSED,7.71,1.38
96,2025-09-02 01:36:35.257 +0700,fruits,71,18.43,77.06,406.01,bad,CLOSED,5.31,-1.02
97,2025-09-02 01:36:40.674 +0700,fruits,76,26.92,80.57,418.57,bad,CLOSED,6.01,-0.32
98,2025-09-02 01:36:46.019 +0700,fruits,83,23.53,72.8,406.83,warning,OPEN,6.04,-0.29
99,2025-09-02 01:36:51.383 +0700,fruits,76,29.4,48.4,399.59,bad,OPEN,7.8,1.47
100,2025-09-02 01:36:56.736 +0700,fruits,46,24.45,60.7,409.67,warning,CLOSED,6.67,0.34
101,2025-09-02 01:37:02.096 +0700,fruits,88,28.22,42.75,410.65,bad,OPEN,7.87,1.54
102,2025-09-02 01:37:07.507 +0700,fruits,73,23.1,78.77,400.3,bad,CLOSED,5.76,-0.57
103,2025-09-02 01:37:12.904 +0700,fruits,88,28.11,93.1,413.74,bad,OPEN,5.6,-0.73
104,2025-09-02 01:37:18.523 +0700,fruits,95,26.31,73.04,398.98,warning,OPEN,6.37,0.04
105,2025-09-02 01:37:23.879 +0700,fruits,38,19.66,55.81,397.39,good,OPEN,6.43,0.1
106,2025-09-02 01:37:29.240 +0700,fruits,31,21.55,40.61,412.35,bad,OPEN,7.24,0.91
107,2025-09-02 01:37:34.598 +0700,fruits,75,20.52,40.28,408.77,warning,CLOSED,7.16,0.83
108,2025-09-02 01:37:40.002 +0700,fruits,67,21.81,81.57,410.43,bad,OPEN,5.45,-0.88
109,2025-09-02 01:37:45.391 +0700,fruits,84,20.38,84.63,406.68,bad,OPEN,5.18,-1.15
110,2025-09-02 01:37:50.756 +0700,fruits,91,18.33,50.64,399.55,good,OPEN,6.5,0.17
111,2025-09-02 01:37:56.113 +0700,fruits,76,22.93,42.4,408.17,warning,OPEN,7.33,1.0
112,2025-09-02 01:38:01.519 +0700,fruits,88,28.85,87.79,409.56,bad,CLOSED,5.94,-0.39
113,2025-09-02 01:38:06.901 +0700,fruits,83,20.6,83.99,404.07,bad,OPEN,5.24,-1.09
114,2025-09-02 01:38:12.302 +0700,fruits,47,22.47,84.91,414.01,bad,CLOSED,5.36,-0.97
115,2025-09-02 01:38:17.661 +0700,fruits,53,29.72,89.59,409.6,bad,OPEN,5.95,-0.38
116,2025-09-02 01:38:23.028 +0700,fruits,85,27.98,44.69,396.72,bad,CLOSED,7.83,1.5
117,2025-09-02 01:38:28.388 +0700,fruits,95,27.15,64.12,397.97,bad,OPEN,6.86,0.53
118,2025-09-02 01:38:33.786 +0700,fruits,66,28.36,52.68,407.54,bad,CLOSED,7.46,1.13
119,2025-09-02 01:38:39.210 +0700,fruits,57,22.7,48.68,404.27,good,OPEN,7.04,0.71
120,2025-09-02 01:38:44.606 +0700,fruits,35,27.59,76.58,403.07,bad,CLOSED,6.33,0.0
